,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
37,-0.1027,Thu Apr 05 03:42:51 +0000 2018,0.08,0.92,0.0,Hard Questions: Q&amp;A with Mark Zuckerberg on Protecting People’s Information — full transcript of today’s press call https://t.co/62JNFzAeWT,38
38,-0.3818,Wed Apr 04 18:30:08 +0000 2018,0.191,0.809,0.0,An Update on Our Plans to Restrict Data Access on Facebook https://t.co/wCnp3bwGJs,39
39,0.0,Wed Apr 04 16:01:00 +0000 2018,0.0,1.0,0.0,"We’re Making Our Terms and Data Policy Clearer, Without New Rights to Use Your Data on Facebook https://t.co/NMqdO3CuYY",40
40,-0.2732,Tue Apr 03 20:31:52 +0000 2018,0.195,0.708,0.097,Authenticity Matters: The IRA Has No Place on Facebook https://t.co/ZJOlxAUpr5,41
41,0.4019,Tue Apr 03 18:07:51 +0000 2018,0.0,0.722,0.278,Facebook Community Boost Partners with Houston Organizations https://t.co/SYPQhG43nF,42
42,0.7672,Tue Apr 03 17:36:00 +0000 2018,0.0,0.611,0.389,News Feed FYI: Helping People Better Assess The Stories They See In News Feed https://t.co/gFCo69cDTb,43
43,0.0,Tue Apr 03 12:00:54 +0000 2018,0.0,1.0,0.0,"With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual https://t.co/XfJo78DTQU",44
44,0.5574,Thu Mar 29 17:01:45 +0000 2018,0.072,0.67,0.258,Hard Questions: What is Facebook Doing to Protect Election Security? - Transcript of remarks to press https://t.co/eag8djeHit,45
45,0.4215,Wed Mar 28 11:00:31 +0000 2018,0.0,0.781,0.219,It’s Time to Make Our Privacy Tools Easier to Find https://t.co/w8W86BLocR,46
46,0.4019,Mon Mar 26 14:30:08 +0000 2018,0.0,0.816,0.184,Facebook Community Boost Partners with St. Louis Organizations and Announces Next 8 Cities https://t.co/3J2MB124gl,47
47,0.368,Mon Mar 26 11:00:44 +0000 2018,0.0,0.78,0.22,"News Feed FYI: More Local News on Facebook, Globally https://t.co/ekEo5M6boh",48
48,0.0,Sun Mar 25 19:30:24 +0000 2018,0.0,1.0,0.0,Fact Check: Your Call and SMS History https://t.co/TRDKTAV14P,49
49,-0.1027,Thu Mar 22 01:47:33 +0000 2018,0.189,0.811,0.0,Hard Questions: Update on Cambridge Analytica https://t.co/P4ATxxHsUF,50
50,-0.6369,Wed Mar 21 19:36:53 +0000 2018,0.457,0.543,0.0,Cracking Down on Platform Abuse https://t.co/0sOLVMWjoT,51
51,0.4404,Wed Mar 21 12:00:58 +0000 2018,0.0,0.791,0.209,You’re in Charge: Messenger Group Chats Are Now Better Than Ever https://t.co/Nb0gaamNHp,52
52,0.0,Mon Mar 19 22:33:45 +0000 2018,0.0,1.0,0.0,Updated: https://t.co/F3DDxke93s,53
53,0.0,Mon Mar 19 18:40:26 +0000 2018,0.0,1.0,0.0,Pursuing Forensic Audits to Investigate Cambridge Analytica Claims https://t.co/75UX7IfQjs,54
54,0.0,Mon Mar 19 16:00:49 +0000 2018,0.0,1.0,0.0,Testing New Tools and Experiences for Creators https://t.co/KvNG4EjMfX,55
55,0.0,Sat Mar 17 03:41:58 +0000 2018,0.0,1.0,0.0,Suspending Cambridge Analytica and SCL Group from Facebook https://t.co/z7wCCqlbcA,56
56,0.0,Wed Mar 07 15:01:05 +0000 2018,0.0,1.0,0.0,"When Women Lead, Everyone Progresses https://t.co/nUsEZeFF7H",57
57,0.0,Wed Mar 07 13:00:23 +0000 2018,0.0,1.0,0.0,Introducing Video Chat in Messenger Lite https://t.co/mLsVGEmruS,58
58,0.4019,Tue Mar 06 14:05:56 +0000 2018,0.0,0.69,0.31,Catalyst Housing Fund Attracts New Investor https://t.co/bNS4jtsIJ5,59
59,0.4215,Mon Mar 05 17:44:10 +0000 2018,0.0,0.517,0.483,Global Safety Summit https://t.co/eUnhZvy8Z7,60
60,0.34,Thu Mar 01 19:32:40 +0000 2018,0.125,0.625,0.25,Hard Questions: Live from Facebook’s Global Safety Summit https://t.co/AIJa7uI7qR,61
61,0.368,Thu Mar 01 18:30:51 +0000 2018,0.0,0.76,0.24,News Feed FYI: Ending the Explore Feed Test https://t.co/xOoJr4nKAt,62
62,0.296,Wed Feb 28 14:30:07 +0000 2018,0.0,0.784,0.216,Helping People Find Jobs and Local Businesses Hire https://t.co/AY03dcpGfy,63
63,0.0,Mon Feb 26 11:30:48 +0000 2018,0.0,1.0,0.0,Connectivity for All: Insights from the 2018 Inclusive Internet Index https://t.co/7tc8UnCy2z,64
64,0.7346,Wed Feb 21 13:00:28 +0000 2018,0.0,0.733,0.267,We just made it easier to add more friends and family to your Messenger audio and video chats https://t.co/MlTwnnqQ0R,65
65,0.1027,Thu Feb 15 15:00:45 +0000 2018,0.209,0.51,0.281,Making it Easier for Organizations and Businesses to Help People during a Crisis https://t.co/VWQJcxClDE,66
66,0.6908,Tue Feb 13 13:00:31 +0000 2018,0.0,0.412,0.588,Feeling the Love with Messenger https://t.co/2CAHnSq0Qd,67
67,0.0,Fri Feb 09 11:00:20 +0000 2018,0.0,1.0,0.0,Announcements from Facebook Communities Summit Europe: new investments in community leaders and new tools for group… https://t.co/ArcsjDaCn9,68
68,0.8834,Tue Feb 06 13:40:44 +0000 2018,0.0,0.469,0.531,Safer Internet Day: Teaching Children to Safely Engage Online and Supporting Parent Conversations https://t.co/NVS5M4di17,69
69,0.8591,Sun Feb 04 14:00:42 +0000 2018,0.0,0.424,0.576,"This Friends Day, Show Gratitude for Your Closest Friends https://t.co/agD2WkO2ZU",70
70,0.0,Wed Jan 31 21:37:16 +0000 2018,0.0,1.0,0.0,Facebook Reports Fourth Quarter and Full Year 2017 Results https://t.co/7pL4LmJORa,71
71,0.368,Mon Jan 29 20:00:04 +0000 2018,0.0,0.76,0.24,News Feed FYI: More Local News on Facebook https://t.co/pc3TFtmpWx,72
72,0.34,Mon Jan 29 05:00:28 +0000 2018,0.0,0.876,0.124,Giving You More Control of Your Privacy on Facebook — introducing a new educational campaign and our Privacy Princi… https://t.co/9pOH5jaTBP,73
73,-0.1027,Thu Jan 25 16:30:49 +0000 2018,0.072,0.928,0.0,Our remaining two guest posts in our Hard Questions series on democracy are from former President of Estonia… https://t.co/pHDLDmvK3C,74
74,-0.1027,Mon Jan 22 10:00:29 +0000 2018,0.189,0.811,0.0,Hard Questions: Social Media and Democracy https://t.co/WCfGgoj4fF,75
75,0.0,Sun Jan 21 23:01:20 +0000 2018,0.0,1.0,0.0,Training 1 Million People and Small Businesses in Europe by 2020 https://t.co/OPmnOcnt7K,76
76,0.8567,Fri Jan 19 20:38:55 +0000 2018,0.0,0.463,0.537,News Feed FYI: Helping Ensure News on Facebook Is From Trusted Sources https://t.co/y11DTAaQpl,77
77,0.0,Thu Jan 18 14:00:23 +0000 2018,0.0,1.0,0.0,American Express CEO Kenneth I. Chenault Joins Facebook Board of Directors https://t.co/mjpqkU8KFV,78
