Date,Open,High,Low,Close,Adj Close,Volume
12/17/2015,15.15,15.26,14.4,14.75,14.75,213800
12/18/2015,14.61,15.37,14.61,15.2,15.2,171900
12/21/2015,14.75,15.39,14.52,15.25,15.25,240700
12/22/2015,15.34,15.34,14.73,14.99,14.99,72800
12/23/2015,14.93,15,14.71,14.99,14.99,34900
12/24/2015,15.28,15.28,14.8,14.91,14.91,27600
12/28/2015,14.85,15.17,14.85,14.94,14.94,29300
12/29/2015,14.94,15.205,14.85,15,15,71500
12/30/2015,14.94,15.34,14.782,15.24,15.24,76800
12/31/2015,15.225,15.48,14.93,15.13,15.13,52700
1/4/2016,15.28,15.28,13.83,14.3,14.3,201800
1/5/2016,14.39,15.49,13.69,15.39,15.39,149000
1/6/2016,15.07,15.91,14.53,15.22,15.22,460700
1/7/2016,15.06,15.81,14.65,15.42,15.42,432800
1/8/2016,15.39,15.8,14.64,14.89,14.89,228600
1/11/2016,14.97,14.97,13.98,14.19,14.19,196200
1/12/2016,14.25,14.322,13.39,13.67,13.67,122300
1/13/2016,13.71,13.9,12.58,13.77,13.77,218600
1/14/2016,13.76,14.02,13.18,13.61,13.61,103600
1/15/2016,13.59,13.6,12.59,12.99,12.99,144400
1/19/2016,13.07,13.07,12.07,12.15,12.15,122600
1/20/2016,12,12,11.38,11.75,11.75,191600
1/21/2016,11.75,12.18,11.61,12.02,12.02,105700
1/22/2016,12.2,12.79,11.76,12.5,12.5,82500
1/25/2016,12.44,12.44,11.76,12.03,12.03,91700
1/26/2016,12.28,12.285,11.55,11.73,11.73,54500
1/27/2016,11.77,11.77,11.25,11.34,11.34,58000
1/28/2016,11.47,11.62,11,11.39,11.39,102900
1/29/2016,11.48,12.46,11.48,11.82,11.82,123700
2/1/2016,11.71,11.71,11.01,11.04,11.04,105400
2/2/2016,10.99,11.17,10.6,11,11,101300
2/3/2016,11.06,11.323,10.62,11.01,11.01,66200
2/4/2016,11.1,11.33,10.88,11.1,11.1,72500
2/5/2016,11.13,11.45,10.94,11.25,11.25,217800
2/8/2016,11.27,12,10.88,11.65,11.65,157200
2/9/2016,11.53,11.58,10.69,10.83,10.83,133600
2/10/2016,10.99,11.422,10.86,11.25,11.25,158500
2/11/2016,11,12,10.28,10.28,10.28,274700
2/12/2016,10.43,10.54,9.2,9.82,9.82,291600
2/16/2016,9.9,10.425,9.53,10.18,10.18,320100
2/17/2016,10.2,11.09,9.9,11.04,11.04,318100
2/18/2016,11.12,11.39,10.54,11.27,11.27,147100
2/19/2016,11.26,12.24,11.23,12.14,12.14,324000
2/22/2016,12.3,12.9,12.22,12.9,12.9,279100
2/23/2016,13,13,11.89,12.1,12.1,194700
2/24/2016,11.93,12,11.51,11.86,11.86,155100
2/25/2016,11.79,12.13,11.71,12,12,97600
2/26/2016,11.94,12.29,11.77,11.84,11.84,117600
2/29/2016,11.91,12,11.76,11.78,11.78,45300
3/1/2016,11.8,12.15,11.8,12,12,171000
3/2/2016,11.76,12.2,11.61,11.76,11.76,134900
3/3/2016,11.81,12.36,11.72,12.32,12.32,111200
3/4/2016,12.3,13.19,12.2,13.16,13.16,179600
3/7/2016,13.01,13.8,13.01,13.53,13.53,206900
3/8/2016,13.54,13.64,13.08,13.18,13.18,145200
3/9/2016,13.12,13.13,12.56,12.88,12.88,36500
3/10/2016,12.81,13.08,12.55,12.7,12.7,157800
3/11/2016,12.635,13.28,12.635,13.26,13.26,105000
3/14/2016,13.05,13.5,12.82,13.37,13.37,130300
3/15/2016,13.32,13.544,13.025,13.21,13.21,78200
3/16/2016,13.22,13.75,13.19,13.7,13.7,58500
3/17/2016,13.66,14.58,13.64,14,14,215800
3/18/2016,14,14.06,13.665,13.68,13.68,117000
3/21/2016,13.6,14,13.55,13.91,13.91,86200
3/22/2016,13.74,14,13.74,13.86,13.86,41100
3/23/2016,13.72,13.85,12.87,13.28,13.28,161800
3/24/2016,13.15,13.61,13.12,13.37,13.37,259100
3/28/2016,13.5,13.5,13.19,13.2,13.2,84800
3/29/2016,13.09,13.47,12.81,13.36,13.36,102700
3/30/2016,13.36,13.72,13.36,13.53,13.53,25400
3/31/2016,13.49,13.82,13.01,13.33,13.33,212600
4/1/2016,13.16,13.5,12.93,13.15,13.15,86900
4/4/2016,13.21,13.51,12.92,13.13,13.13,153400
4/5/2016,13.42,13.42,12.97,13.08,13.08,46100
4/6/2016,13.12,13.8,13.12,13.67,13.67,34300
4/7/2016,13.44,13.95,13.43,13.76,13.76,76800
4/8/2016,13.74,13.88,13.59,13.75,13.75,48600
4/11/2016,13.77,14,13.58,13.64,13.64,29100
4/12/2016,13.575,13.85,13.51,13.7,13.7,24100
4/13/2016,13.86,14.33,13.86,14,14,77600
4/14/2016,14.03,14.06,13.71,14,14,102600
4/15/2016,13.99,14.06,13.88,14.01,14.01,91100
4/18/2016,13.92,14.07,13.91,14.01,14.01,125800
4/19/2016,13.99,14.15,13.71,14,14,231300
4/20/2016,13.94,14.15,13.91,13.97,13.97,26600
4/21/2016,13.97,14.03,13.94,13.98,13.98,23700
4/22/2016,13.94,14.09,13.82,13.99,13.99,30900
4/25/2016,13.95,14.08,13.9,14,14,26400
4/26/2016,13.97,14.205,13.87,14.07,14.07,73800
4/27/2016,14.18,14.435,13.88,14.09,14.09,88500
4/28/2016,14.14,14.33,13.78,13.95,13.95,102800
4/29/2016,13.95,14.23,13.45,13.61,13.61,382300
5/2/2016,13.6,13.6,11.91,13.5,13.5,533400
5/3/2016,13.29,13.36,12.52,12.75,12.75,205600
5/4/2016,13.7,15.5,13.7,15.29,15.29,570700
5/5/2016,15.39,15.41,14.35,14.75,14.75,477400
5/6/2016,14.86,15.1,14.215,14.87,14.87,311700
5/9/2016,15,15.05,14.38,14.39,14.39,206500
5/10/2016,14.36,14.66,14.145,14.39,14.39,99000
5/11/2016,14.35,14.467,14.1,14.26,14.26,609600
5/12/2016,14.479,14.479,13.77,14.11,14.11,129900
5/13/2016,14,14.24,14,14.03,14.03,106100
5/16/2016,14,14.24,13.88,13.97,13.97,116600
5/17/2016,13.82,13.82,13.34,13.62,13.62,104500
5/18/2016,13.64,13.75,13.41,13.6,13.6,92000
5/19/2016,13.48,13.61,13.38,13.53,13.53,110700
5/20/2016,13.55,13.65,13.45,13.58,13.58,146800
5/23/2016,13.53,13.95,13.4,13.53,13.53,72200
5/24/2016,13.5,13.56,13.12,13.49,13.49,199900
