,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
33,0.8313,Mon Jun 04 22:58:19 +0000 2018,0.0,0.645,0.355,@bbradleypa Thanks for expressing an interest in our Bold conference! Early Bird pricing for the conference is $399… https://t.co/dJqhsOvhAK,34
34,0.8176,Mon Jun 04 18:02:25 +0000 2018,0.0,0.667,0.333,"@Nikcolesjourney Hello Nikcole, and thank you for reaching out. We'd love to connect you with a member of our leade… https://t.co/Jnij91dhm2",35
35,0.7351,Mon Jun 04 12:25:13 +0000 2018,0.0,0.702,0.298,Make sure your business succeeds in today’s competitive economy and to give your employees the skills they need to… https://t.co/Rm28Yuy1j6,36
36,0.8225,Mon Jun 04 02:25:07 +0000 2018,0.0,0.636,0.364,10 wellness practitioners at @Goop shared their personal techniques for cultivating positivity in their life. How d… https://t.co/E7uszCVPwb,37
37,0.6908,Fri Jun 01 22:00:01 +0000 2018,0.0,0.769,0.231,"May was officially Global Employee Health and Fitness month, but the work continues all year long. We’re proud to s… https://t.co/nu53LQ85in",38
38,0.4939,Fri Jun 01 20:32:11 +0000 2018,0.0,0.878,0.122,"Are you getting the most out of the #MINDBODY app? Here are 8 steps to optimize your listing so you can show up, sh… https://t.co/gAAAeFtOqG",39
39,0.0516,Fri Jun 01 05:36:36 +0000 2018,0.139,0.754,0.107,"@EileenSitter Hello Eileen, 
Sorry to hear that you no longer wish to receive our emails. Would you mind DM us your… https://t.co/LGBVPDFTeI",40
40,0.6588,Thu May 31 21:25:16 +0000 2018,0.0,0.646,0.354,@BalletAustinCTR Awesome! We look forward to seeing you there.,41
41,0.8636,Thu May 31 20:39:41 +0000 2018,0.0,0.638,0.362,We’re excited to announce that former First Lady and champion of health @MichelleObama will attend BOLD 2018 in Sep… https://t.co/Is2g1d0vzz,42
42,0.9042,Wed May 30 20:39:42 +0000 2018,0.0,0.582,0.418,Have you met #Frederick? Frederick is your new best friend in business growth. Join this live #webinar to learn new… https://t.co/VidNkJgS9Y,43
43,0.8268,Wed May 30 19:29:20 +0000 2018,0.0,0.674,0.326,RT @TWooodley: Make sure you're taking advantage of all the great classes @ATTEvolution has to offer with the @mindbodyonline app ! https:/…,44
44,0.6322,Wed May 30 00:31:59 +0000 2018,0.0,0.636,0.364,"What's better? Low-carb or low-fat? @BritandCo sets the record straight 
https://t.co/3YXotSfW0I",45
45,0.821,Sun May 27 21:41:15 +0000 2018,0.0,0.71,0.29,@studiob931 Thank you for reaching out to us!  We would be more than happy to assist you in figuring out what is ca… https://t.co/Ukp3cowfgp,46
46,0.8176,Sun May 27 18:06:26 +0000 2018,0.0,0.746,0.254,"@Andreametcalf Hello Andrea, we would love to look into this for you and assist in any way we can. Feel free to DM… https://t.co/0JvwhRzzVc",47
47,0.1779,Sat May 26 20:50:00 +0000 2018,0.0,0.914,0.086,The #workplacewellness industry is growing in big ways. Sign up with @GEHFM to get started at your workplace.… https://t.co/D2RPCsAn2Z,48
48,0.8176,Sat May 26 14:58:56 +0000 2018,0.0,0.691,0.309,"RT @Trinseo: May is Global Employee Health and Fitness Month @GEHFM. At Trinseo, we believe healthy employees are happy and productive empl…",49
49,0.5106,Sat May 26 14:50:08 +0000 2018,0.0,0.68,0.32,Fun day with @YoganicFlow #photoshoot #wellness #makeamericawell https://t.co/guFpqweC9f,50
50,-0.3883,Fri May 25 10:50:27 +0000 2018,0.147,0.853,0.0,@PilatesPT We are sorry to hear you have not been promoted for a callback as you should be. You can also request a… https://t.co/1kroYvHxDp,51
51,0.6114,Wed May 23 23:39:23 +0000 2018,0.0,0.81,0.19,Summer is a little over a month away. Get prepping with these tips about using refreshing and delicious #mint! https://t.co/dqEd65WDp2,52
52,0.6793,Wed May 23 18:14:19 +0000 2018,0.0,0.763,0.237,@moebio We totally understand and really appreciate you taking the time to provide your feedback! Please be on the… https://t.co/vdnCKrGU3t,53
53,0.4199,Wed May 23 17:08:05 +0000 2018,0.0,0.872,0.128,"@moebio Hi Santiago, Thank you for your feedback! We will be rolling out some updates to our communication preferen… https://t.co/FnsHNAkzl3",54
54,0.893,Wed May 23 15:48:39 +0000 2018,0.0,0.6,0.4,@mishah86 You are very welcome. We are glad it's working for you now. Have a great rest of your day!,55
55,-0.4019,Wed May 23 15:41:17 +0000 2018,0.179,0.821,0.0,"@mishah86 Hello, Sorry you've had difficulty logging in. Everything appears to be All Systems Operational on our en… https://t.co/W5ke8gf3Jv",56
56,-0.0772,Wed May 23 15:37:47 +0000 2018,0.061,0.939,0.0,"@julie_theiss Hi Julie, We are sorry you are experiencing this issue. Everything on our end appears to be All Syste… https://t.co/VnNyH3AkHw",57
57,0.7717,Wed May 23 00:48:51 +0000 2018,0.0,0.675,0.325,Promote wellness in the workplace and join us to #MakeAmericaWell. You still have time to register for @GEHFM… https://t.co/YN2YoUGbQf,58
58,0.3802,Wed May 23 00:33:45 +0000 2018,0.0,0.88,0.12,"@MissBerry206 Hi Lauren, All of our systems are currently operational! Please see the link below, this will take yo… https://t.co/owFbbqvKjK",59
59,0.7003,Tue May 22 15:05:18 +0000 2018,0.0,0.633,0.367,Let's come together and #MakeAmericaWell. We are proud to support @GEHFM https://t.co/q0gRYy5rsG,60
60,-0.1531,Mon May 21 20:51:02 +0000 2018,0.144,0.745,0.112,"She's an all star fitness coach who has helped women lose a combined 15,000 lbs. #motivationalmonday https://t.co/Y1TREcghEr",61
